🕘️更新时间,#genre#
2026-04-25 07:37:24,http://107.150.60.122/live/cctv1hd.m3u8

📺央视频道,#genre#
CCTV-1,http://107.150.60.122/live/cctv1hd.m3u8
CCTV-2,http://107.150.60.122/live/cctv2hd.m3u8
CCTV-3,http://107.150.60.122/live/cctv3hd.m3u8
CCTV-4,http://107.150.60.122/live/cctv4hd.m3u8
CCTV-5,http://107.150.60.122/live/cctv5hd.m3u8
CCTV-5+,http://107.150.60.122/live/cctv5p.m3u8
CCTV-6,http://107.150.60.122/live/cctv6hd.m3u8
CCTV-7,http://107.150.60.122/live/cctv7hd.m3u8
CCTV-8,http://107.150.60.122/live/cctv8hd.m3u8
CCTV-9,http://107.150.60.122/live/cctv9hd.m3u8
CCTV-10,http://107.150.60.122/live/cctv10hd.m3u8
CCTV-11,http://107.150.60.122/live/cctv11hd.m3u8
CCTV-12,http://107.150.60.122/live/cctv12hd.m3u8
CCTV-13,http://107.150.60.122/live/cctv13hd.m3u8
CCTV-14,http://107.150.60.122/live/cctv14hd.m3u8
CCTV-15,http://107.150.60.122/live/cctv15hd.m3u8
CCTV-16,http://107.150.60.122/live/cctv16hd.m3u8
CCTV-17,http://107.150.60.122/live/cctv17hd.m3u8
CETV-3,http://107.150.60.122/live/cetv3.m3u8

📡卫视频道,#genre#
广东卫视,http://107.150.60.122/live/gdwshd.m3u8
浙江卫视,http://107.150.60.122/live/zjwshd.m3u8
湖南卫视,http://107.150.60.122/live/hnwshd.m3u8
湖北卫视,http://107.150.60.122/live/hbwshd.m3u8
重庆卫视,http://107.150.60.122/live/cqwshd.m3u8
东方卫视,http://107.150.60.122/live/dfwshd.m3u8
东南卫视,http://107.150.60.122/live/dnwshd.m3u8
广西卫视,http://107.150.60.122/live/gxwshd.m3u8
江苏卫视,http://107.150.60.122/live/jswshd.m3u8
辽宁卫视,http://107.150.60.122/live/lnwshd.m3u8
青海卫视,http://107.150.60.122/live/qhws.m3u8
山东卫视,http://107.150.60.122/live/sdwshd.m3u8
陕西卫视,http://107.150.60.122/live/snwshd.m3u8
深圳卫视,http://107.150.60.122/live/szwshd.m3u8
天津卫视,http://107.150.60.122/live/tjwshd.m3u8
西藏卫视,http://107.150.60.122/live/xzws.m3u8

☘️广东频道,#genre#
广东珠江,http://107.150.60.122/live/gdzj.m3u8
广东体育,http://107.150.60.122/live/gdty.m3u8
广东新闻,http://107.150.60.122/live/gdxw.m3u8
大湾区卫视,http://107.150.60.122/live/nfws.m3u8
